Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
1,"RECONX-E7 — Day 3: Streams, Collectors & CompletableFuture",Epic,,,,,,"Workshop 3A. Functional recon pipelines with Streams/Collectors and parallel recon via CompletableFuture. Groups TICKET-ADV033 through ADV039."
2,RECONX-E8 — Day 3: TDD with JUnit 5 & Mockito,Epic,,,,,,"Workshop 3B. Red-green-refactor, parameterised tests, Mockito ArgumentCaptor. Groups TICKET-ADV040 through ADV043."
3,"RECONX-E9 — Day 3: Testcontainers, Integration & Coverage",Epic,,,,,,"Workshop 3C. Testcontainers Postgres, end-to-end integration test, JaCoCo >=85%, edge-case refactor. Groups TICKET-ADV044 through ADV047."
4,TICKET-ADV033 — ReconciliationEngine using Streams,Task,1,3,TICKET-ADV033,,backend,"GOAL: reconcile(internal, external) pairs trades from two lists, returns Map<String, ReconResult> keyed by trade ref. DONE WHEN: takes two List<Trade>, returns Map<String,ReconResult>. External-side lookups constant-time, not linear-scan. Correct on 10k-trade input in a couple seconds. Empty/null inputs return empty map, never throw."
5,TICKET-ADV034 — Trade analytics with Collectors,Task,1,3,TICKET-ADV034,,backend,"GOAL: per-counterparty one-pass summary of trade notionals (count, sum, min, max, avg). DONE WHEN: takes List<Trade>, returns Map<String,?> keyed by counterparty id carrying all 5 aggregates. Traverses input exactly once (no two-pass loop). Snippet returns correct average notional for a known counterparty."
6,TICKET-ADV035 — VWAP via a custom Collector,Task,1,3,TICKET-ADV035,,backend,"GOAL: custom Collector<Trade,?,BigDecimal> computing volume-weighted average price. DONE WHEN: implements all four contributions (supplier, accumulator, combiner, finisher) + characteristics. Result BigDecimal to 6 dp half-up, no double precision loss. Serial and parallel streams give identical results. Empty input returns BigDecimal.ZERO, not throw."
7,TICKET-ADV036 — P&L per instrument,Task,1,2,TICKET-ADV036,,backend,"GOAL: Map<String,BigDecimal> of summed P&L per instrument symbol from a list of trades. DONE WHEN: keys are instrument symbols, values BigDecimal sums. Pipeline parallel-safe — reduction uses identity + associative operator. Small fixture (3 instruments, mixed signs) yields hand-calculable totals."
8,TICKET-ADV037 — CompletableFuture: parallel recon by counterparty,Task,1,3,TICKET-ADV037,,backend,"GOAL: reconcile each counterparty on its own thread, merge results into one map. DONE WHEN: each reconcile runs on an explicitly-chosen executor, not the JVM common pool. Service waits for ALL futures before returning. Merged map size == sum of per-counterparty map sizes. Service exposes shutdown() for the executor it owns."
9,TICKET-ADV038 — Custom Collector returning a ReconSummary,Task,1,3,TICKET-ADV038,,backend,"GOAL: Collector over Stream<ReconResult> returning a ReconSummary with total, matched, broken counts. DONE WHEN: ReconSummary record/class with the 3 fields + empty() factory. Collector implements all 4 contributions, combiner adds counts from two partial summaries. Parallel-stream test over 10k results matches serial ReconSummary."
10,TICKET-ADV039 — Optional chaining for null-safe lookups,Task,1,2,TICKET-ADV039,,backend,"GOAL: counterpartyForTradeRef(String) walks trade ref -> counterparty via Optional chaining, no if(x!=null) or isPresent(). DONE WHEN: body is a single expression — repo lookup, two chained ops, terminal orElseThrow. No Optional.get() or isPresent() anywhere. Thrown exception carries the trade ref in its message."
11,TICKET-ADV040 — Exact-match TDD cycle,Task,2,2,TICKET-ADV040,,backend,"GOAL: drive an exact-match test through red -> green -> refactor for reconcile. DONE WHEN: test method has a sentence-like @DisplayName. Clear given/when/then structure (comments mark phases). Fails first (saw red), passes after production behaviour written. Asserts use AssertJ fluent style, not raw assertEquals."
12,TICKET-ADV041 — Tolerance test with @ParameterizedTest,Task,2,2,TICKET-ADV041,,backend,"GOAL: parameterised test running the same matching assertion over multiple in-tolerance price differences. DONE WHEN: uses @ParameterizedTest with a value source of price differences. All within tolerance — asserts MATCHED for every one. Display-name template includes the parameter (one line per input). No float literals — values arrive as strings, parse to BigDecimal."
13,TICKET-ADV042 — Missing counterparty trade,Task,2,2,TICKET-ADV042,,backend,"GOAL: assert an internal trade with no external match produces a BREAK with reason MISSING_COUNTERPARTY_TRADE. DONE WHEN: test supplies an internal trade + empty external list. Assertion verifies BOTH the status and the reason string of the ReconResult. Reason asserted by exact equality, not regex or contains."
14,TICKET-ADV043 — Mockito ArgumentCaptor,Task,2,2,TICKET-ADV043,,backend,"GOAL: use ArgumentCaptor to assert the content of the ReconResult passed to repository save(), not just that save was called. DONE WHEN: service-layer test mocks ReconResultRepository. Uses ArgumentCaptor<ReconResult> to capture what was saved. Asserts >=2 fields of the captured object (trade ref + status). verify(times(1)) is not the only assertion."
15,TICKET-ADV044 — Set up Testcontainers PostgreSQL,Task,3,2,TICKET-ADV044,,backend,"GOAL: stand up a Testcontainers-managed Postgres the Spring Boot test context can talk to. DONE WHEN: test class annotated for Testcontainers lifecycle. Postgres container is a class-level static field with correct annotation. Spring datasource URL/user/pass resolve to the running container at test time. A trivial sanity test passes — container started, Spring wired up."
16,TICKET-ADV045 — Integration test: insert -> recon -> verify,Task,3,3,TICKET-ADV045,,backend,"GOAL: end-to-end test inserting trades via repo beans, running the recon service, verifying persisted ReconResult rows. DONE WHEN: inserts >=1 matching pair (one internal, one external). Recon service invoked against findAll() of both repos. After call, recon_results table returns exactly the expected row count. Each row's status + trade ref asserted explicitly."
17,TICKET-ADV046 — JaCoCo coverage report >=85%,Task,3,2,TICKET-ADV046,,backend,"GOAL: wire JaCoCo so mvn verify produces a coverage report and fails when service-package coverage drops below 85%. DONE WHEN: JaCoCo Maven plugin in backend/pom.xml. Build runs prepare-agent, report, check across the right phases. Threshold rule targets service.* and repository.* with min line ratio 0.85. After clean verify, target/site/jacoco/index.html shows the report."
18,TICKET-ADV047 — Refactor for edge cases,Task,3,3,TICKET-ADV047,,backend,"GOAL: add tests for three reconcile edge cases + refactor production code so all pass. DONE WHEN: empty internal list returns empty map, no throw. Single internal trade, no external feed -> single BREAK, reason MISSING_COUNTERPARTY_TRADE. All-mismatched -> every result BREAK, ReconSummary has total==broken, matched==0. reconcile handles null/empty explicitly, never NPEs on the boundary."
