Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
1,"RECONX-E30 — Day 10: Dockerfiles, Compose & Provisioning",Epic,,,,,,"Workshop 10 (part A). Backend and frontend multi-stage Dockerfiles, 7-service docker-compose with healthchecks, Prometheus scrape config, Grafana provisioning, Liquibase on container startup, and an end-to-end smoke-test script. Groups TICKET-ADV146 through ADV153."
2,RECONX-E31 — Day 10: GitHub Actions CI/CD Pipeline,Epic,,,,,,"Workshop 10 (part B). CI workflow that lints, tests, builds and pushes images to GHCR, plus Liquibase validate, a JaCoCo coverage gate and Checkstyle static analysis. Groups TICKET-ADV154 through ADV157."
3,RECONX-E32 — Day 10: Load Test & Grafana Screenshots,Epic,,,,,,"Workshop 10 (part C). 200-VU k6 load test with latency and error-rate thresholds, plus three rendered Grafana screenshots (baseline, under load, recovery) as demo evidence. Groups TICKET-ADV158 through ADV159."
4,"RECONX-E33 — Day 10: Docs, Deck, Rehearsal & Release",Epic,,,,,,"Workshop 10 (part D). Mermaid architecture diagrams, comprehensive top-level README, 10-slide demo deck, two timed rehearsals, the v1.0.0 release tag and the team retrospective. Groups TICKET-ADV160 through ADV165."
5,TICKET-ADV146 — Backend multi-stage Dockerfile,Task,1,3,TICKET-ADV146,,architecture,"GOAL: containerise the Spring Boot backend with a small, secure runtime image — JDK build stage, JRE-alpine runtime stage running as a non-root reconx user, plus backend/.dockerignore. DONE WHEN: docker build backend/ produces a working image without copying the JDK or Maven into the final layer. Final image is under 250 MB in docker image ls. A second build after editing only a src/ file completes in under 30 seconds because the dependency layer is cached."
6,TICKET-ADV147 — Frontend multi-stage Dockerfile and nginx.conf,Task,1,3,TICKET-ADV147,,architecture,"GOAL: build the Vite SPA in node-alpine and serve the static dist/ from nginx-alpine, with a SPA fallback and an /api/ proxy_pass to the backend service. DONE WHEN: docker build frontend/ produces a runtime image based on nginx-alpine, not node. A hard refresh on /trades (or any client-side route) returns the SPA, not a 404. API calls from the browser to /api/v1/... reach the backend container without CORS errors."
7,TICKET-ADV148 — docker-compose.yml with 7 services,Task,1,3,TICKET-ADV148,,architecture,"GOAL: compose the full stack (postgres, zookeeper, kafka, backend, frontend, prometheus, grafana) on one bridge network so a single command boots it all. DONE WHEN: docker compose up -d starts all 7 services and the backend reaches healthy status without restart loops. The backend waits for both Postgres and Kafka to be healthy before starting (depends_on service_healthy, verifiable in logs). The frontend reaches the backend through the compose network with no localhost references in any service-to-service URL."
8,TICKET-ADV149 — Prometheus scrape config,Task,1,2,TICKET-ADV149,,architecture,"GOAL: configure Prometheus to scrape the Spring Boot actuator metrics endpoint and Kafka JMX via monitoring/prometheus/prometheus.yml mounted read-only into the container. DONE WHEN: prometheus.yml declares scrape jobs for the backend and Kafka. http://localhost:9090/targets shows the spring-boot target as UP, not DOWN. The targets list does not contain localhost:8080 as a scrape URL — the backend is scraped by service name."
9,TICKET-ADV150 — Grafana provisioning (datasource + dashboards),Task,1,2,TICKET-ADV150,,architecture,"GOAL: auto-provision the Prometheus datasource and the ReconX dashboard so Grafana is usable on first boot with no manual import. DONE WHEN: monitoring/grafana/provisioning/datasources/prometheus.yml declares Prometheus as the default datasource. After docker compose up, the Grafana UI shows a ReconX folder containing the dashboard with no manual import. Every panel renders data (not ""No data"") within 30 seconds of the stack being healthy — datasource UID matches the dashboard JSON."
10,TICKET-ADV151 — Liquibase migrations on container startup,Task,1,2,TICKET-ADV151,,architecture,"GOAL: ensure Liquibase changesets apply automatically when the stack boots, before the backend accepts traffic, with the docker profile pinned to ddl-auto validate. DONE WHEN: a fresh docker compose down -v && docker compose up -d applies all changesets and the backend reaches healthy state. hibernate.ddl-auto is set to validate (never update or create) in the docker profile. The backend container does not race Postgres on startup (depends_on with service_healthy)."
