Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
1,RECONX-E4 — Day 2: Sealed Hierarchy & Builders,Epic,,,,,,"Workshop 2A. Sealed TradeType root + four concrete trades via Builder. Groups TICKET-ADV018 through ADV022."
2,"RECONX-E5 — Day 2: Factories, Value Objects & Exceptions",Epic,,,,,,"Workshop 2B. Factory, value objects, exception ladder, recon-rule enum. Groups TICKET-ADV023 through ADV026."
3,"RECONX-E6 — Day 2: Contracts, Validation & Review",Epic,,,,,,"Workshop 2C. Comparable/equals/hashCode, JSR-380, PII-safe toString, Javadoc, PR review. Groups TICKET-ADV027 through ADV032."
4,TICKET-ADV018 — Sealed interface TradeType and abstract base,Task,1,2,TICKET-ADV018,,backend,"GOAL: closed-world polymorphic root for every trade type + internal shared-state base. DONE WHEN: sealed interface TradeType in com.dbtraining.reconx.model names the 4 permitted concrete types. Abstract base holds shared fields (tradeRef, notional, tradeDate), validates non-null on construction. Compiles no warnings; an implementer outside the permits list fails compilation."
5,TICKET-ADV019 — EquityTrade with Builder pattern,Task,1,3,TICKET-ADV019,,backend,"GOAL: first concrete trade with fluent Builder enforcing required fields + invariants at build time. DONE WHEN: EquityTrade is final, no public constructor, reachable only via static builder(). Builder validates required fields BEFORE constructor — missing fields give named error, not deep NPE. Dedicated Side enum (BUY/SELL) replaces stringly-typed direction."
6,TICKET-ADV020 — FXTrade (two currencies and FX rate),Task,1,3,TICKET-ADV020,,backend,"GOAL: FX trade type with two currency fields, base-currency notional, FX rate — all type-safe. DONE WHEN: currency fields use java.util.Currency, never String. Builder rejects equal ccy1/ccy2, rejects non-positive fxRate or notionalCcy1. Notional currency convention documented in Javadoc (notional is in ccy1)."
7,"TICKET-ADV021 — BondTrade (coupon, maturity, face value, ISIN)",Task,1,3,TICKET-ADV021,,backend,"GOAL: bond trade type with fixed-income fields + fail-fast validation on maturity ordering and ISIN shape. DONE WHEN: couponRate, faceValue and all numeric fields are BigDecimal — no double/float anywhere. Builder rejects maturityDate not strictly after tradeDate. ISIN shape checked (length 12) in Builder."
8,"TICKET-ADV022 — DerivativeTrade (underlying, strike, expiry, option type)",Task,1,3,TICKET-ADV022,,backend,"GOAL: derivative trade type with option-type enum + strike/expiry validation, without over-validating historical records. DONE WHEN: OptionType enum (CALL/PUT) nested on DerivativeTrade. strike is positive BigDecimal; expiry strictly after tradeDate. Class does NOT reject expired derivatives (valid historical record) — document this decision."
9,TICKET-ADV023 — TradeFactory,Task,2,3,TICKET-ADV023,,backend,"GOAL: single entry point constructing any concrete TradeType from a discriminator string + param map, absorbing type-erasure cost so callers stay clean. DONE WHEN: TradeFactory is final, private constructor, single static create(String, Map<String,Object>). Each asset-class string routes to its builder via switch expression. Unknown discriminator / missing key / wrong cast surfaces as InvalidTradeException with a useful message — never raw ClassCastException."
10,TICKET-ADV024 — Money and TradeRef value objects,Task,2,3,TICKET-ADV024,,backend,"GOAL: two immutable value objects — Money (amount + currency) and TradeRef (regex-validated reference). DONE WHEN: both are records, not classes with setters. Money rejects negative amounts + mismatched currencies in add(); currency is java.util.Currency, not String. TradeRef validates its string form against the platform pattern (3 uppercase letters, dash, 8 digits, dash, 4 digits) in its compact constructor."
11,TICKET-ADV025 — Exception hierarchy,Task,2,2,TICKET-ADV025,,backend,"GOAL: exception ladder rooted at abstract ReconException with 4 concrete subtypes (construction, lookup, duplication, reconciliation). DONE WHEN: ReconException is abstract, extends RuntimeException (unchecked). 4 subtypes: InvalidTradeException, TradeNotFoundException, DuplicateTradeRefException, ReconciliationMismatchException. Each has (String) and (String, Throwable) constructors — chained causes not lost. All in com.dbtraining.reconx.exception."
12,TICKET-ADV026 — ReconciliationRule enum,Task,2,2,TICKET-ADV026,,backend,"GOAL: model the closed set of recon tolerance rules as an enum with thresholds + a behaviour method per constant. DONE WHEN: ReconciliationRule enum with >=4 constants (exact, price tolerance, quantity tolerance, loose) carrying BigDecimal thresholds. matches(...) method compares two (price, quantity) pairs against the constant's tolerances. No double anywhere — comparisons use BigDecimal only."
13,TICKET-ADV027 — Comparable<TradeType> natural ordering,Task,3,2,TICKET-ADV027,,backend,"GOAL: give TradeType a natural ordering safe for TreeSet/TreeMap, consistent with the equality added in ADV028. DONE WHEN: TradeType extends Comparable<TradeType>. Ordering is newest-trade-date first, ties broken by TradeRef ascending. A heterogeneous list (equity, FX, bond, derivative) sorts deterministically with no NPE."
14,TICKET-ADV028 — equals and hashCode keyed on tradeRef,Task,3,2,TICKET-ADV028,,backend,"GOAL: value-based equality on every concrete trade, keyed on natural business key tradeRef, so collections behave correctly pre/post-persist. DONE WHEN: every concrete trade overrides equals and hashCode. Equality keyed on tradeRef alone — not id, not every field. A HashSet of two trades with same tradeRef but different other fields has size 1."
15,TICKET-ADV029 — JSR-380 validation on the request DTO,Task,3,2,TICKET-ADV029,,backend,"GOAL: declarative validation on the inbound HTTP DTO, leaving the domain Builder as second line of defence. DONE WHEN: TradeRequest is a record in com.dbtraining.reconx.dto with JSR-380 (jakarta.validation.constraints) annotations on every field. Annotations match field types (@NotNull/@Positive on BigDecimal, @NotBlank/@Pattern on String). Malformed request rejected at controller boundary; Builder still catches anything slipping through."
16,TICKET-ADV030 — PII-safe toString for logging,Task,3,2,TICKET-ADV030,,backend,"GOAL: override toString on every concrete trade so default logging never leaks counterparty/settlement PII. DONE WHEN: each concrete trade has a hand-written toString (not IDE-generated over every field). String includes tradeRef, instrument id, public commercial fields — excludes counterparty refs, full settlement-currency notional, any LEI-like identifier. BigDecimal fields render via toPlainString(), not default toString."
