Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
1,RECONX-E13 — Day 5: REST CRUD Endpoints,Epic,,,,,,"Workshop 5A. Trade + recon + audit REST endpoints (GET/POST/PUT/PATCH/DELETE, async recon, Envers history). Groups TICKET-ADV063 through ADV071."
2,RECONX-E14 — Day 5: JWT & RBAC,Epic,,,,,,"Workshop 5B. JWT issuance, auth filter, SecurityFilterChain with URL + method RBAC. Groups TICKET-ADV072 through ADV074."
3,RECONX-E15 — Day 5: Testing & API Versioning,Epic,,,,,,"Workshop 5C. MockMvc auth tests, Testcontainers lifecycle + Liquibase verify, API versioning/deprecation. Groups TICKET-ADV075 through ADV080."
4,"TICKET-ADV063 — GET /api/v1/trades (paginated, filterable, sortable)",Task,1,3,TICKET-ADV063,,backend,"GOAL: single GET endpoint returning trades with optional filters + stable pagination metadata. DONE WHEN: GET /api/v1/trades returns JSON with content, page, size, totalElements, totalPages, last. ?status=PENDING&counterparty=Apex narrows without breaking on a single filter. ?sort=createdAt,desc orders newest first, no 500 on unknown property."
5,TICKET-ADV064 — POST /api/v1/trades (create + validation),Task,1,3,TICKET-ADV064,,backend,"GOAL: create a trade from a validated body, return 201 + Location header. DONE WHEN: valid TradeRequest returns 201, Location: /api/v1/trades/{id}, created trade JSON. Invalid body (missing tradeRef, negative quantity, future tradeDate) returns 400 ProblemDetail. Controller never sees a raw Trade entity — only request + response DTOs."
6,TICKET-ADV065 — PUT /api/v1/trades/{id} (full update),Task,1,2,TICKET-ADV065,,backend,"GOAL: replace every mutable field of an existing trade in one idempotent call. DONE WHEN: PUT with a complete TradeRequest returns 200 + updated representation. Same PUT twice leaves the resource in the same final state — no duplicate side effects. Non-existent id returns 404 ProblemDetail, not 500."
7,TICKET-ADV066 — PATCH /api/v1/trades/{id}/status,Task,1,2,TICKET-ADV066,,backend,"GOAL: update only the status field via a dedicated sub-resource. DONE WHEN: PATCH with { status: MATCHED } returns 200 + updated trade. Invalid status (FOOBAR) returns 400 with a clear validation message. VIEWER role cannot call it — RBAC blocks before the controller (see ADV077)."
8,TICKET-ADV067 — DELETE /api/v1/trades/{id} (soft delete),Task,1,2,TICKET-ADV067,,backend,"GOAL: logically delete a trade so it leaves list responses but stays in the DB for audit. DONE WHEN: DELETE returns 204 No Content, empty body. After delete, GET /api/v1/trades no longer returns the row. A row physically remains in trades with deleted_at populated (verify via direct SQL)."
9,TICKET-ADV068 — POST /api/v1/recon/run,Task,1,3,TICKET-ADV068,,backend,"GOAL: trigger a recon job asynchronously, return a pollable job handle. DONE WHEN: POST ReconRequest (from-date, to-date, optional counterpartyId) returns 202 Accepted, not 200. Body has jobId (UUID) + initial status QUEUED. Location header points at the future results endpoint for that job id."
10,TICKET-ADV069 — GET /api/v1/recon/jobs/{jobId}/results,Task,1,2,TICKET-ADV069,,backend,"GOAL: return the paginated recon breaks for a specific job. DONE WHEN: returns PagedResponse<ReconResultResponse>. ?page=0&size=50 respected. VIEWER, RECON_ANALYST, ADMIN can read; TRADER cannot."
