Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
1,"RECONX-E10 — Day 4: Skeleton, Profiles & Entities",Epic,,,,,,"Workshop 4A. Multi-module Maven reactor, dev/uat/prod profiles, JPA entities with auditing + Envers. Groups TICKET-ADV048 through ADV052."
2,"RECONX-E11 — Day 4: DTOs, Mappers, Repos & Pagination",Epic,,,,,,"Workshop 4B. DTO layer, MapStruct mapper, repository queries, specifications, paginated list endpoint. Groups TICKET-ADV053 through ADV057."
3,"RECONX-E12 — Day 4: Swagger, Health, Logging & Errors",Epic,,,,,,"Workshop 4C. springdoc OpenAPI, DB/Kafka health indicators, MDC structured logging, RFC 7807 error handling. Groups TICKET-ADV058 through ADV062."
4,TICKET-ADV048 — Create the multi-module Maven project,Task,1,3,TICKET-ADV048,,backend,"GOAL: five-module Maven reactor building end-to-end with ./mvnw -pl backend clean install. DONE WHEN: parent backend/pom.xml has <packaging>pom</packaging> + <modules> naming common, domain, repository, service, api. Each child pom declares <parent> but not its own groupId/version. Root ./mvnw -pl backend clean install exits 0, reports five reactor builds."
5,TICKET-ADV049 — Spring profiles: dev / uat / prod,Task,1,3,TICKET-ADV049,,backend,"GOAL: three profiles so the same JAR boots H2 in dev, Postgres in UAT, secrets-driven Postgres in prod. DONE WHEN: application.yml defaults active profile to dev via SPRING_PROFILES_ACTIVE fallback. dev = in-memory H2 in Postgres-compat mode. uat/prod use Postgres dialect; prod credentials all from env vars that fail fast if unset. open-in-view false; liquibase change-log has classpath: prefix; sql.init.mode never."
6,TICKET-ADV050 — @Entity Trade with @ManyToOne + auditing,Task,1,3,TICKET-ADV050,,backend,"GOAL: Trade JPA entity with lazy relations to Counterparty/Instrument + Spring Data auditing + Envers. DONE WHEN: Trade in domain module, @Entity @Table(indexes) @EntityListeners(AuditingEntityListener) @Audited. counterparty/instrument @ManyToOne(LAZY, optional=false) @JoinColumn. status @Enumerated(STRING) default PENDING. createdAt @CreatedDate updatable=false; modifiedAt @LastModifiedDate. @EnableJpaAuditing config in api. equals/hashCode hand-written on id only (no Lombok @Data)."
7,TICKET-ADV051 — Instrument entity with JSONB metadata,Task,1,3,TICKET-ADV051,,backend,"GOAL: map Instrument including Map<String,Object> metadata stored as JSONB on Postgres, CLOB on H2. DONE WHEN: fields id, symbol (unique), name, assetClass (enum STRING), currency (len 3), metadata. metadata @Type(JsonBinaryType) @Column(columnDefinition=jsonb). dev H2 URL includes MODE=PostgreSQL so column type round-trips. Save+reload with arbitrary metadata keys yields the same map."
8,TICKET-ADV052 — Hibernate Envers on the Trade entity,Task,1,2,TICKET-ADV052,,backend,"GOAL: verify Envers writes one row per committed Trade change to trades_aud + expose two query methods. DONE WHEN: after 3 updates to one trade, trades_aud has 4 rows for that id (1 insert + 3 updates), revinfo has matching REV ids + timestamps. TradeHistoryService.revisionsFor(tradeId) returns revision numbers. snapshotAt(tradeId, rev) returns entity state at that revision. Both @Transactional(readOnly=true)."
9,TICKET-ADV053 — DTO layer and PagedResponse<T>,Task,2,3,TICKET-ADV053,,backend,"GOAL: TradeRequest, TradeResponse, generic PagedResponse<T> so controllers never leak JPA entities. DONE WHEN: TradeRequest record with @NotBlank/@NotNull/@DecimalMin/@PastOrPresent. TradeResponse record with flat counterparty/instrument fields, no nested objects. PagedResponse<T> record with items, page, size, totalElements, totalPages. Static factory of(Page<E>, Function<E,T>) maps page content via the supplied function."
10,TICKET-ADV054 — MapStruct mapper,Task,2,3,TICKET-ADV054,,backend,"GOAL: compile-time Spring-managed TradeMapper mapping Trade to/from TradeRequest/TradeResponse. DONE WHEN: @Mapper(componentModel=spring, unmappedTargetPolicy=ERROR). toResponse maps counterparty.id/name + instrument.id/symbol to flat fields, enum status to String via @Named helper. toEntity ignores id, counterparty, instrument, status, createdAt, modifiedAt. maven-compiler-plugin has mapstruct-processor in annotationProcessorPaths. TradeMapperImpl generated after compile."
11,TICKET-ADV055 — TradeRepository with @Query,Task,2,3,TICKET-ADV055,,backend,"GOAL: Spring Data repo with derived findByTradeRef + JPQL findByFilters supporting optional date range/status/counterparty. DONE WHEN: TradeRepository extends JpaRepository<Trade,Long> + JpaSpecificationExecutor<Trade>. findByTradeRef(String) returns Optional<Trade>. findByFilters(from, to, status, counterpartyId, Pageable) returns Page<Trade> via @Query using the (:param IS NULL OR ...) idiom. Smoke test returns seed trades in the date range."
12,TICKET-ADV056 — Specification-based dynamic queries,Task,2,3,TICKET-ADV056,,backend,"GOAL: replace (:param IS NULL OR ...) with composable JPA Specifications, each independently testable. DONE WHEN: final TradeSpecification (private ctor) exposes tradeDateBetween, hasStatus, forCounterparty, refLike. Each returns Specification<Trade> and short-circuits to cb.conjunction() when arg null/blank. Query service composes with Specification.where().and().and() + findAll(spec, pageable). Tests for 'date range only' and 'all four' both return the right rows."
13,TICKET-ADV057 — Pagination on the list endpoint,Task,2,2,TICKET-ADV057,,backend,"GOAL: GET /v1/trades with optional filters + Spring Pageable, capped to a sane default page size. DONE WHEN: TradeController @RestController at /v1/trades. GET accepts from/to/status/counterpartyId as optional params, from/to via @DateTimeFormat(ISO.DATE). Pageable has @PageableDefault(size=20, sort=tradeDate, DESC). Returns PagedResponse<TradeResponse> via PagedResponse.of(page, mapper::toResponse). ?page=0&size=5 returns 200 with a stable JSON envelope."
14,TICKET-ADV058 — Swagger / OpenAPI configuration,Task,3,2,TICKET-ADV058,,backend,"GOAL: springdoc OpenAPI exposing Swagger UI at /api/swagger-ui.html with public + admin groups. DONE WHEN: OpenApiConfig declares an OpenAPI bean (title, description, version, contact, bearerAuth HTTP/bearer/JWT scheme). Two GroupedOpenApi beans: public matching /v1/trades/** + /v1/recon/**; admin matching /v1/admin/** + /actuator/**. Under dev, swagger-ui.html loads + switches groups. GET /api/v1/api-docs/public returns public-group JSON."
15,TICKET-ADV059 — DatabaseHealthIndicator,Task,3,2,TICKET-ADV059,,backend,"GOAL: replace Boot's default DataSource health indicator with one owning its SQL, timeout, details. DONE WHEN: @Component(reconxDatabase) extends AbstractHealthIndicator. Runs SELECT 1 against the DataSource with a 2s statement timeout. Success reports up() + query=SELECT 1 + elapsedMs. Failure reports down(exception) + query string. GET /actuator/health shows reconxDatabase: UP under components."
16,TICKET-ADV060 — KafkaHealthIndicator,Task,3,2,TICKET-ADV060,,backend,"GOAL: conditional Kafka health indicator registering only when spring.kafka.bootstrap-servers is set. DONE WHEN: @Component(reconxKafka) extends AbstractHealthIndicator, gated by @ConditionalOnProperty(spring.kafka.bootstrap-servers). Creates AdminClient with 2s request + 3s default API timeout. Success calls describeCluster(), records clusterId + nodeCount. Under dev (no Kafka) absent from /actuator/health; under UAT present + UP."
17,TICKET-ADV061 — Structured logging with MDC,Task,3,3,TICKET-ADV061,,backend,"GOAL: human-readable logs in dev, JSON in uat/prod, per-request correlationId (+optional tradeRef) via SLF4J MDC. DONE WHEN: logback-spring.xml with two <springProfile> blocks — dev plain pattern including %X{correlationId:-} %X{tradeRef:-}; uat,prod LogstashEncoder includeMdc=true + service field. @Component @Order(1) MdcFilter reads X-Correlation-Id (or generates UUID) + X-Trade-Ref, puts both in MDC before chain.doFilter, MDC.clear() in finally. Request with X-Correlation-Id: foo-123 logs foo-123 in dev."
18,TICKET-ADV062 — Global @RestControllerAdvice with RFC 7807,Task,3,3,TICKET-ADV062,,backend,"GOAL: application/problem+json responses for every domain exception, validation failure, uncaught error via ProblemDetail. DONE WHEN: GlobalExceptionHandler @RestControllerAdvice in api. TradeNotFoundException -> 404 (type trade-not-found, title Trade not found, timestamp). DuplicateTradeRefException -> 409 (type duplicate-trade-ref). ReconException -> 422 with custom reconBreakId. MethodArgumentNotValidException -> 400 with all field errors joined into detail. Any uncaught Exception -> 500 with a safe generic message, logged at error."
