Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
1,"RECONX-E26 — Day 9: Kafka Topics, Producer & Event Payload",Epic,,,,,,"Workshop 9 (part A). Declarative Kafka topics on boot, TradeEventProducer keyed by tradeRef for per-trade ordering, immutable TradeEvent record payload. Groups TICKET-ADV128 through ADV130."
2,"RECONX-E27 — Day 9: Consumers — Recon, Audit & Alert",Epic,,,,,,"Workshop 9 (part B). Three @KafkaListener consumers in three distinct consumer groups (recon-service, audit-service, alert-service) for fan-out with independent SLAs. Groups TICKET-ADV131 through ADV133."
3,"RECONX-E28 — Day 9: DLQ, Retry, Replay & Event Sourcing",Epic,,,,,,"Workshop 9 (part C). DefaultErrorHandler with exponential backoff retries, dead-letter publishing to trade-events-dlq, DLQ consumer plus admin replay endpoint, and event-sourced trade state rebuild from audit_log. Groups TICKET-ADV134 through ADV138."
4,"RECONX-E29 — Day 9: Metrics, Grafana, Integration Tests & AI Review",Epic,,,,,,"Workshop 9 (part D). Kafka metrics via Micrometer/Prometheus, Grafana panels for lag, throughput and DLQ count with alerting, Testcontainers integration tests for happy path and DLQ routing, and an AI-assisted consumer config review. Groups TICKET-ADV139 through ADV145."
5,"TICKET-ADV128 — Kafka topics: trade-events, recon-results, system-alerts + DLQ",Task,1,2,TICKET-ADV128,,db-backend,"GOAL: declare the three primary Kafka topics plus the trade-events DLQ topic so the broker creates them automatically on application startup. DONE WHEN: a @Configuration class declares four NewTopic beans — trade-events (3 partitions), trade-events-dlq (3 partitions), recon-results (2 partitions), system-alerts (1 partition), each with replicas(1). After backend restart Kafdrop shows all four topics with correct partition counts with no manual kafka-topics.sh run, and topic names are exposed as public static final String constants on the config class."
6,"TICKET-ADV129 — TradeEventProducer keyed by tradeRef",Task,1,2,TICKET-ADV129,,db-backend,"GOAL: build a producer component that publishes TradeEvent messages to the trade-events topic, keyed by tradeRef so all events for the same trade preserve order on one partition. DONE WHEN: a @Component TradeEventProducer exposes publish(TradeEvent event) sending to trade-events with message key event.tradeRef(); the send is asynchronous with failures logged via the future's whenComplete callback (no blocking .get()); after invoking publish, Kafdrop shows the message under trade-events with the expected partition assignment."
7,"TICKET-ADV130 — TradeEvent payload record",Task,1,2,TICKET-ADV130,,db-backend,"GOAL: define the immutable Kafka event payload as a Java record carrying event metadata and a before/after trade snapshot. DONE WHEN: a TradeEvent record in the dto package has eventId (UUID), tradeRef, eventType, timestamp (Instant), before and after snapshots; a nested EventType enum has TRADE_CREATED, TRADE_UPDATED, TRADE_CANCELLED; three static factories created/updated/cancelled each generate a fresh UUID and Instant.now(); Jackson round-trip (publish then consume) preserves all fields including the snapshots."
8,"TICKET-ADV131 — ReconciliationConsumer (recon-service group)",Task,2,2,TICKET-ADV131,,db-backend,"GOAL: wire a consumer on the trade-events topic that triggers reconciliation logic for every event, in the recon-service consumer group. DONE WHEN: a @Component ReconciliationConsumer has a @KafkaListener(topics = trade-events, groupId = recon-service) method receiving a TradeEvent; it dispatches on eventType — TRADE_CREATED/TRADE_UPDATED call reconEngine.scheduleRecon(tradeRef), TRADE_CANCELLED calls cancelPendingRecon(tradeRef); after boot Kafdrop shows the recon-service group assigned across all three trade-events partitions; publishing one event triggers exactly one recon dispatch."
9,"TICKET-ADV132 — AuditEventConsumer persists events to audit_log",Task,2,3,TICKET-ADV132,,db-backend,"GOAL: persist every TradeEvent to the audit_log table using a separate consumer group, so the event log becomes the foundation of the event-sourcing rebuild. DONE WHEN: a @Component AuditEventConsumer has a @KafkaListener(topics = trade-events, groupId = audit-service) method annotated @Transactional; it builds an AuditLogEntry from the event (eventId, tradeRef, operation = eventType.name(), before/after data, occurredAt = event timestamp) and saves via AuditLogRepository; after publishing 10 events for one trade, audit_log contains exactly 10 rows for that trade in event-time order."
10,"TICKET-ADV133 — AlertConsumer on system-alerts",Task,2,2,TICKET-ADV133,,db-backend,"GOAL: listen on the system-alerts topic and surface every alert at WARN level, with a pluggable sink for Slack or another notifier. DONE WHEN: a @Component AlertConsumer has a @KafkaListener(topics = system-alerts, groupId = alert-service) method receiving a SystemAlert DTO; each alert is logged at WARN with severity, code and message; the consumer calls a constructor-injected AlertSink.notify(alert) (starter NoopAlertSink left in place); Kafdrop shows consumer group alert-service registered on the single system-alerts partition."
