Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
1,"RECONX-E20 — Day 7: Layout, Theming & Animation",Epic,,,,,,"Workshop 7 (part 1). Flexbox shell, design tokens, dark/light theme, feed area, animation library, responsive breakpoints. Groups TICKET-ADV098 through ADV103."
2,RECONX-E21 — Day 7: SSE Feed & Data Table,Epic,,,,,,"Workshop 7 (part 2). Server-Sent Events subscription, prepend-and-animate handler, advanced sortable/resizable data table. Groups TICKET-ADV104 through ADV106."
3,"TICKET-ADV098 — Flexbox layout: sidebar, header, 3-col main, footer",Task,1,3,TICKET-ADV098,,frontend,"GOAL: build the static-dashboard shell with nested Flexbox — header top, sidebar + main row middle, footer bottom, 3-card grid inside main. DONE WHEN: dashboard.html renders a fixed-width sidebar that does not shrink at narrow viewports. Header sits top, footer bottom of viewport even when content is short. Main shows three cards across at desktop width via a single Flexbox row that wraps."
4,TICKET-ADV099 — CSS custom properties (design tokens),Task,1,2,TICKET-ADV099,,frontend,"GOAL: replace every hardcoded colour, spacing, radius, shadow with CSS custom properties on :root so theming + animations can reference them. DONE WHEN: brand colours, surfaces, 4px spacing scale, radius + shadow tokens all live in a :root block at the top of style.css. No component rule contains a hex, rgba(), or raw pixel spacing — everything via var(--token). Names follow a consistent convention (--color-primary, --space-4, --radius, --shadow-sm)."
5,TICKET-ADV100 — Dark/light theme toggle,Task,1,3,TICKET-ADV100,,frontend,"GOAL: toggle button flipping the dashboard between light/dark by mutating one attribute on <html>, persisted across reloads, no flash of unstyled content. DONE WHEN: clicking swaps data-theme=light/dark on <html>. Preference survives a full reload (localStorage). On reload there is NO white flash before dark applies — theme set before the body paints."
6,TICKET-ADV101 — Real-time trade feed area with slide-in animation,Task,1,3,TICKET-ADV101,,frontend,"GOAL: dedicated feed column hosting live trade cards, each .trade-card styled with an entrance animation on insert. DONE WHEN: a <section id=trade-feed> exists in dashboard.html, laid out in the main area without breaking the ADV098 grid. .trade-card styled with padding, a status-coloured left border, clean hierarchy using the ADV099 tokens. Newly inserted cards play a slide-in entrance (visible when adding a card in DevTools)."
7,"TICKET-ADV102 — CSS animations: fade-in, slide-in, pulse",Task,1,3,TICKET-ADV102,,frontend,"GOAL: animation library — three keyframes (slide-in, fade-in, pulse) — with pulse wired to a danger alert, honouring prefers-reduced-motion. DONE WHEN: three @keyframes blocks exist. An .alert--danger uses pulse on a 2s infinite loop, visible on the page. A @media (prefers-reduced-motion: reduce) block cuts all animation durations to near-zero (verify via DevTools emulation)."
8,"TICKET-ADV103 — Responsive breakpoints: desktop, tablet, mobile",Task,1,3,TICKET-ADV103,,frontend,"GOAL: shell survives three widths — desktop (3-col cards, side-by-side), tablet (2-col, sidebar to top strip), mobile (1-col, smaller header). DONE WHEN: >=1025px matches ADV098 (sidebar left, 3 cards). <=1024px sidebar drops above main as a horizontal strip, cards 2-across. <=640px cards full-width, header shrinks, NO horizontal scrolling at 375px."
9,TICKET-ADV104 — Server-Sent Events subscription to /api/v1/trades/stream,Task,2,3,TICKET-ADV104,,frontend,"GOAL: open a live SSE subscription from the browser + update a connection-status badge as it opens/errors/reconnects. DONE WHEN: js/sse.js opens a connection to /api/v1/trades/stream on page load. A #sse-status badge reads Live when open, Reconnecting when dropped. Killing + restarting the backend cycles the badge reconnecting -> live WITHOUT you writing reconnection logic yourself."
10,TICKET-ADV105 — SSE handler with prepend-and-animate,Task,2,3,TICKET-ADV105,,frontend,"GOAL: render each incoming SSE trade as a .trade-card at the TOP of the feed, replaying the ADV101 slide-in, capping the feed at 50 so the DOM stays bounded. DONE WHEN: each new trade appears at the top of #trade-feed (newest first). Slide-in plays on every insert, a temporary .trade-card--new modifier is removed after entrance completes. After 50+ trades the feed holds exactly 50 cards — oldest removed on new prepend."
11,"TICKET-ADV106 — Advanced data table (sortable, resizable, frozen header)",Task,2,3,TICKET-ADV106,,frontend,"GOAL: trades table on trades.html with click-to-sort columns (asc/desc toggle), drag-to-resize columns, header row pinned while body scrolls. DONE WHEN: clicking a <th> sorts by that column, clicking again reverses; active column shows a triangle indicator and aria-sort reflects state. Dragging the handle inside a <th> resizes smoothly, and the drag keeps working when the cursor leaves the handle. Scrolling the body keeps the header pinned at the top of the scroll container."
