Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
1,RECONX-E16 — Day 6: Caching with Caffeine,Epic,,,,,,"Workshop 6A. @Cacheable symbol lookup + Caffeine TTL/eviction policies with Micrometer stats. Groups TICKET-ADV081 through ADV082."
2,RECONX-E17 — Day 6: Custom Micrometer Metrics,Epic,,,,,,"Workshop 6B. Counter, Timer, Gauge, DistributionSummary emitted to /actuator/prometheus. Groups TICKET-ADV083 through ADV086."
3,RECONX-E18 — Day 6: Grafana Panels & Alerts,Epic,,,,,,"Workshop 6C. Grafana panels (rate, latency percentiles, heatmap, stat, pie) + Prometheus alert rules. Groups TICKET-ADV087 through ADV094."
4,"RECONX-E19 — Day 6: Starter, JMX & Performance",Epic,,,,,,"Workshop 6D. Custom Spring Boot starter, runtime JMX beans, concurrent performance test. Groups TICKET-ADV095 through ADV097."
5,TICKET-ADV081 — @Cacheable on InstrumentService.findBySymbol(),Task,1,2,TICKET-ADV081,,backend,"GOAL: wrap the symbol lookup so a second call for the same symbol hits memory, not the DB. DONE WHEN: a log line inside findBySymbol prints on the first call but not the second for the same symbol. /actuator/caches lists an instruments cache. Calling the endpoint twice shows the second response visibly faster (sub-ms after the first hit)."
6,"TICKET-ADV082 — Cache eviction: TTL 5 min instruments, 1 min counterparties",Task,1,3,TICKET-ADV082,,backend,"GOAL: two separately-named Caffeine caches with different TTL policies + stats hooks Micrometer needs. DONE WHEN: /actuator/caches lists both instruments and counterparties. A symbol cached at T=0 expires by T=5m30s; a counterparty by T=1m30s. /actuator/prometheus exposes cache_gets_total with labels cache=instruments, result=hit after a warm read."
7,TICKET-ADV083 — Counter: trade_created_total,Task,2,2,TICKET-ADV083,,backend,"GOAL: emit a monotonically increasing counter on each successful trade creation. DONE WHEN: /actuator/prometheus lists trade_created_total with a # HELP line. Creating three trades then re-scraping shows the value up by exactly three. Counter constructed once at bean creation, not inside the service method."
8,TICKET-ADV084 — Timer: reconciliation_duration_seconds,Task,2,3,TICKET-ADV084,,backend,"GOAL: measure recon engine time per batch, publish the distribution so PromQL percentiles work. DONE WHEN: /actuator/prometheus lists reconciliation_duration_seconds_count, _sum, _bucket. histogram_quantile(0.95, ...) over _bucket returns non-zero after a few reconciliations. Timer wraps the engine call without losing the caller's return value."
9,TICKET-ADV085 — Gauge: recon_break_count,Task,2,2,TICKET-ADV085,,backend,"GOAL: publish a current-value sample of how many recon breaks are OPEN. DONE WHEN: /actuator/prometheus shows recon_break_count tracking the live DB count. Closing a break via the API then re-scraping drops the value. Gauge pulls from a supplier — no code calls .set(...)."
10,TICKET-ADV086 — DistributionSummary: trade_value_total,Task,2,2,TICKET-ADV086,,backend,"GOAL: record the distribution of trade notional values (USD) so you can answer P95 trade size. DONE WHEN: /actuator/prometheus lists trade_value_total_count, _sum, _bucket. Metric has a base_unit or HELP line indicating USD. Summary recorded once per successful trade alongside the ADV083 counter increment."
